Size,Threshold,RandomArray,ReverseSortedArray,AlmostSortedArray
3800,60,718,755,727
3900,60,755,674,754
4000,60,770,705,773
4100,60,796,716,803
4200,60,814,731,821
4300,60,844,756,839
4400,60,866,774,862
4500,60,878,797,880
4600,60,917,826,898
4700,60,966,870,922
4800,60,955,869,943
4900,60,998,887,965
5000,60,991,915,990
5100,60,1020,937,1027
5200,60,1027,962,1028
5300,60,1052,986,1060
5400,60,1073,1009,1102
5500,60,1099,1030,1118
5600,60,1126,1192,1195
5700,60,1166,1132,1177
5800,60,1222,1343,1332
5900,60,1267,1164,1215
6000,60,1325,1252,1221
6100,60,1373,1231,1282
6200,60,1296,1249,1286
6300,60,1298,1253,1375
6400,60,1372,1307,1346
6500,60,1356,1435,1356
6600,60,1358,1346,1380
6700,60,1438,1421,1409
6800,60,1531,1460,1471
6900,60,1484,1542,1538
7000,60,1487,1444,1503
7100,60,1529,1482,1494
7200,60,1564,1548,1543
7300,60,1699,1574,1570
7400,60,1649,1668,1610
7500,60,1576,1710,1716
7600,60,1636,1671,1755
7700,60,1643,1649,1731
7800,60,1725,1494,1699
7900,60,1700,1534,1764
8000,60,1833,1594,1728
8100,60,1754,1530,1902
8200,60,1798,1541,1911
8300,60,1844,1571,1872
8400,60,1863,1606,1901
8500,60,1924,1771,1887
8600,60,1918,1694,1854
8700,60,1969,1784,1894
8800,60,1919,1848,2009
8900,60,1984,1751,1919
9000,60,2059,1770,1944
9100,60,2011,1775,2018
9200,60,2080,1861,2047
9300,60,2120,1949,2148
9400,60,2183,1890,2161
9500,60,2088,1923,2169
9600,60,2081,2048,2210
9700,60,2206,2027,2182
9800,60,2228,1956,2219
9900,60,2308,2018,2309
10000,60,2241,2103,2331
500,70,68,77,67
600,70,81,88,85
700,70,115,127,97
800,70,115,121,113
900,70,132,151,134
1000,70,155,169,155
1100,70,184,196,179
1200,70,187,185,207
1300,70,216,205,203
1400,70,224,229,220
1500,70,244,250,240
1600,70,273,288,275
1700,70,285,308,307
1800,70,310,324,318
1900,70,348,367,327
2000,70,346,379,339
2100,70,366,446,376
2200,70,396,466,426
2300,70,435,388,434
2400,70,436,397,433
2500,70,455,435,458
2600,70,472,454,520
2700,70,503,478,524
2800,70,532,521,509
2900,70,525,551,527
3000,70,567,537,547
3100,70,624,595,635
3200,70,625,604,645
3300,70,612,608,610
3400,70,681,688,648
3500,70,687,710,682
3600,70,700,730,688
3700,70,695,714,702
3800,70,750,780,818
3900,70,768,789,752
4000,70,801,851,823
4100,70,825,858,835
4200,70,814,941,867
4300,70,852,917,877
4400,70,870,918,883
4500,70,944,905,901
4600,70,898,820,923
4700,70,978,878,965
4800,70,942,866,952
4900,70,1018,929,1003
5000,70,985,922,1004
5100,70,1051,954,1073
5200,70,1085,995,1092
5300,70,1093,1054,1174
5400,70,1139,1035,1105
5500,70,1130,1032,1097
5600,70,1200,1079,1128
5700,70,1157,1124,1248
5800,70,1198,1158,1176
5900,70,1307,1204,1232
6000,70,1251,1159,1271
6100,70,1249,1220,1242
6200,70,1343,1308,1287
6300,70,1283,1301,1354
6400,70,1348,1274,1302
6500,70,1355,1288,1347
6600,70,1370,1342,1409
6700,70,1415,1341,1412
6800,70,1455,1415,1420
6900,70,1464,1443,1444
7000,70,1452,1451,1519
7100,70,1506,1479,1515
7200,70,1530,1642,1563
7300,70,1554,1530,1562
7400,70,1555,1723,1610
7500,70,1625,1652,1638
7600,70,1610,1661,1675
7700,70,1791,1682,1649
7800,70,1732,1727,1726
7900,70,1748,1763,1708
8000,70,1707,1763,1714
8100,70,1738,1805,1747
8200,70,1751,1835,1783
8300,70,1827,1831,1805
8400,70,1855,1864,1865
8500,70,1863,1893,1880
8600,70,1873,1963,1892
8700,70,1924,1954,1929
8800,70,1948,1982,1957
8900,70,1988,2051,1978
9000,70,2011,1975,2018
9100,70,1999,1776,2031
9200,70,2011,1786,2040
9300,70,2087,1834,2065
9400,70,2065,1874,2103
9500,70,2117,1924,2083
9600,70,2173,1934,2126
9700,70,2175,1904,2167
9800,70,2194,1946,2156
9900,70,2174,1991,2211
10000,70,2190,2006,2283
500,80,64,90,72
600,80,83,103,82
700,80,103,102,97
800,80,120,122,113
900,80,136,145,131
1000,80,151,169,149
1100,80,170,197,169
1200,80,190,226,190
1300,80,206,206,204
1400,80,224,228,220
1500,80,243,251,240
1600,80,264,277,270
1700,80,283,315,318
1800,80,311,333,329
1900,80,343,384,353
2000,80,341,394,357
2100,80,393,408,362
2200,80,405,439,393
2300,80,412,469,416
2400,80,470,549,493
2500,80,458,574,489
2600,80,492,486,503
2700,80,510,467,529
2800,80,500,496,516
2900,80,525,555,548
3000,80,544,534,583
3100,80,570,584,590
3200,80,599,587,608
3300,80,608,615,632
3400,80,655,664,700
3500,80,650,676,694
3600,80,676,700,690
3700,80,741,733,779
3800,80,801,809,769
3900,80,758,868,758
4000,80,763,844,801
4100,80,787,844,856
4200,80,924,866,845
4300,80,845,914,860
4400,80,887,920,890
4500,80,884,971,939
4600,80,932,986,957
4700,80,956,1034,968
4800,80,976,1076,994
4900,80,981,1086,1013
5000,80,1043,1147,1064
5100,80,1050,1159,1053
5200,80,1068,970,1031
5300,80,1068,999,1057
5400,80,1135,1008,1088
5500,80,1109,1060,1140
5600,80,1118,1082,1151
5700,80,1188,1121,1162
5800,80,1190,1182,1183
5900,80,1223,1132,1208
6000,80,1248,1203,1252
6100,80,1277,1212,1228
6200,80,1269,1208,1256
6300,80,1329,1320,1470
6400,80,1529,1447,1371
6500,80,1932,1498,1338
6600,80,1838,1726,3197
6700,80,1554,1668,1568
6800,80,1621,1541,1598
6900,80,1507,1407,1475
7000,80,1534,1432,1455
7100,80,1546,1479,1487
7200,80,1534,1549,1532
7300,80,1542,1530,1548
7400,80,1548,1564,1552
7500,80,1608,1572,1590
7600,80,1617,1602,1602
7700,80,1616,1659,1621
7800,80,1646,1711,1759
7900,80,1676,1705,1738
8000,80,1742,1750,1703
8100,80,1726,1762,1721
8200,80,1752,1822,1746
8300,80,1789,1832,1773
8400,80,1907,1860,1796
8500,80,1853,1916,1819
8600,80,1951,1953,1847
8700,80,1959,1950,1870
8800,80,2036,2018,1904
8900,80,1963,2039,1934
9000,80,1951,2041,1959
9100,80,1982,2075,1982
9200,80,2008,2095,2035
9300,80,2101,2152,2109
9400,80,2148,2209,2092
9500,80,2120,2251,2122
9600,80,2166,2297,2130
9700,80,2185,2320,2193
9800,80,2188,2329,2204
9900,80,2230,2424,2239
10000,80,2221,2402,2265
